,naics,countOsm,countStatcan,osmCompleteness,population density,median income,ale_index,% non-immigrants,% not a visible minority,% postsecondary
13405,5221,1,0,inf,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13406,44511,1,2,0.5,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13407,44611,1,1,1.0,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13408,81293,4,0,inf,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13409,452110,1,0,inf,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13410,722511,1,0,inf,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13411,812114,1,0,inf,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
13412,81293,1,0,inf,5154.1,23531.0,0.79666948,0.47983310152990266,0.3963838664812239,0.4659248956884562
13413,6111,2,0,inf,1920.2,51904.0,5.1321497,0.6621004566210046,0.7077625570776256,0.5593607305936074
13414,8131,1,1,1.0,1920.2,51904.0,5.1321497,0.6621004566210046,0.7077625570776256,0.5593607305936074
13415,81293,2,0,inf,1920.2,51904.0,5.1321497,0.6621004566210046,0.7077625570776256,0.5593607305936074
13416,6111,4,0,inf,1183.2,45867.0,4.3677478,0.6092124814264487,0.7132243684992571,0.5274888558692422
13417,8131,2,2,1.0,1183.2,45867.0,4.3677478,0.6092124814264487,0.7132243684992571,0.5274888558692422
13418,81293,7,0,inf,1183.2,45867.0,4.3677478,0.6092124814264487,0.7132243684992571,0.5274888558692422
13419,447,1,2,0.5,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13420,491,1,0,inf,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13421,4453,1,1,1.0,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13422,8111,1,0,inf,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13423,8131,3,11,0.2727272727272727,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13424,44511,1,1,1.0,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13425,44512,1,1,1.0,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13426,44711,1,2,0.5,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13427,71211,1,0,inf,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13428,81293,42,0,inf,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
13429,722511,1,4,0.25,1989.7,50603.0,2.7262249,0.5026631158455392,0.3828229027962716,0.6691078561917443
